İl Kod,İl,Erkek,Kadın,Toplam,Yıl
1, Adana,242939,111998,354937,2024
2, Adıyaman,79770,21564,101334,2024
3, Afyonkarahisar,73709,32921,106630,2024
4, Ağrı,23979,9329,33308,2024
5, Amasya,30718,15220,45938,2024
6, Ankara,808737,476517,1285254,2024
7, Antalya,398348,237623,635971,2024
8, Artvin,15577,7265,22842,2024
9, Aydın,115476,67798,183274,2024
10, Balıkesir,137565,79298,216863,2024
11, Bilecik,32938,15993,48931,2024
12, Bingöl,21676,7803,29479,2024
13, Bitlis,27740,9716,37456,2024
14, Bolu,40018,25253,65271,2024
15, Burdur,25392,12777,38169,2024
16, Bursa,464355,269537,733892,2024
17, Çanakkale,63195,35087,98282,2024
18, Çankırı,21966,10974,32940,2024
19, Çorum,43476,22911,66387,2024
20, Denizli,118851,82161,201012,2024
21, Diyarbakır,150585,53721,204306,2024
22, Edirne,40852,26811,67663,2024
23, Elazığ,62186,21520,83706,2024
24, Erzincan,22032,10517,32549,2024
25, Erzurum,63884,23747,87631,2024
26, Eskişehir,121480,68921,190401,2024
27, Gaziantep,286900,89270,376170,2024
28, Giresun,37684,22444,60128,2024
29, Gümüşhane,9600,4139,13739,2024
30, Hakkari,20106,4892,24998,2024
31, Hatay,194522,55237,249759,2024
32, Isparta,41530,24445,65975,2024
33, Mersin,248789,101672,350461,2024
34, İstanbul,2786877,1725679,4512556,2024
35, İzmir,601823,385162,986985,2024
36, Kars,17231,8694,25925,2024
37, Kastamonu,36467,18520,54987,2024
38, Kayseri,175087,71388,246475,2024
39, Kırklareli,46072,27175,73247,2024
40, Kırşehir,21415,7740,29155,2024
41, Kocaeli,410076,196707,606783,2024
42, Konya,269410,99033,368443,2024
43, Kütahya,63607,33076,96683,2024
44, Malatya,100080,31467,131547,2024
45, Manisa,177773,97851,275624,2024
46, Kahramanmaraş,145533,39033,184566,2024
47, Mardin,86604,22977,109581,2024
48, Muğla,152872,78965,231837,2024
49, Muş,21935,8343,30278,2024
50, Nevşehir,35920,16758,52678,2024
51, Niğde,31984,13647,45631,2024
52, Ordu,60189,40147,100336,2024
53, Rize,32481,16802,49283,2024
54, Sakarya,144592,74087,218679,2024
55, Samsun,134487,77353,211840,2024
56, Siirt,23962,7047,31009,2024
57, Sinop,18647,10805,29452,2024
58, Sivas,57993,21595,79588,2024
59, Tekirdağ,196681,106555,303236,2024
60, Tokat,45233,23790,69023,2024
61, Trabzon,80687,43203,123890,2024
62, Tunceli,6639,3354,9993,2024
63, Şanlıurfa,144747,44743,189490,2024
64, Uşak,43374,24768,68142,2024
65, Van,77594,30721,108315,2024
66, Yozgat,31880,11538,43418,2024
67, Zonguldak,69944,28367,98311,2024
68, Aksaray,46831,16822,63653,2024
69, Bayburt,5890,2494,8384,2024
70, Karaman,26670,14021,40691,2024
71, Kırıkkale,27928,11179,39107,2024
72, Batman,66314,23082,89396,2024
73, Şırnak,52044,10710,62754,2024
74, Bartın,19819,12192,32011,2024
75, Ardahan,5909,2950,8859,2024
76, Iğdır,14112,6197,20309,2024
77, Yalova,63947,21624,85571,2024
78, Karabük,26001,11679,37680,2024
79, Kilis,15924,5547,21471,2024
80, Osmaniye,49625,17997,67622,2024
81, Düzce,52602,30116,82718,2024
1, Adana,247650,108973,356623,2023
2, Adıyaman,63308,20990,84298,2023
3, Afyonkarahisar,72194,30557,102751,2023
4, Ağrı,23519,8077,31596,2023
5, Amasya,32048,15467,47515,2023
6, Ankara,807573,458000,1265573,2023
7, Antalya,403894,230399,634293,2023
8, Artvin,16798,7510,24308,2023
9, Aydın,120243,65211,185454,2023
10, Balıkesir,137039,75713,212752,2023
11, Bilecik,33951,16103,50054,2023
12, Bingöl,21124,8034,29158,2023
13, Bitlis,27415,8587,36002,2023
14, Bolu,39953,24468,64421,2023
15, Burdur,24904,12162,37066,2023
16, Bursa,481657,272279,753936,2023
17, Çanakkale,63461,34102,97563,2023
18, Çankırı,21473,10279,31752,2023
19, Çorum,42883,21917,64800,2023
20, Denizli,121889,80296,202185,2023
21, Diyarbakır,146424,53234,199658,2023
22, Edirne,38950,26373,65323,2023
23, Elazığ,59315,20661,79976,2023
24, Erzincan,24104,9987,34091,2023
25, Erzurum,63921,22650,86571,2023
26, Eskişehir,121455,66993,188448,2023
27, Gaziantep,297476,85480,382956,2023
28, Giresun,37022,21981,59003,2023
29, Gümüşhane,9936,4113,14049,2023
30, Hakkari,19693,4947,24640,2023
31, Hatay,136882,44061,180943,2023
32, Isparta,41923,23342,65265,2023
33, Mersin,246783,96795,343578,2023
34, İstanbul,2803770,1690072,4493842,2023
35, İzmir,610383,377719,988102,2023
36, Kars,16351,7601,23952,2023
37, Kastamonu,37009,18510,55519,2023
38, Kayseri,178371,69147,247518,2023
39, Kırklareli,46044,27007,73051,2023
40, Kırşehir,21024,7480,28504,2023
41, Kocaeli,413481,192776,606257,2023
42, Konya,267836,94290,362126,2023
43, Kütahya,64950,31481,96431,2023
44, Malatya,81113,27978,109091,2023
45, Manisa,181097,95966,277063,2023
46, Kahramanmaraş,122413,33516,155929,2023
47, Mardin,86244,22888,109132,2023
48, Muğla,161644,76040,237684,2023
49, Muş,22193,7588,29781,2023
50, Nevşehir,35990,15633,51623,2023
51, Niğde,31221,12142,43363,2023
52, Ordu,61276,38783,100059,2023
53, Rize,32030,16238,48268,2023
54, Sakarya,145380,72824,218204,2023
55, Samsun,133167,75073,208240,2023
56, Siirt,24256,6137,30393,2023
57, Sinop,18942,10919,29861,2023
58, Sivas,58818,20892,79710,2023
59, Tekirdağ,202811,106569,309380,2023
60, Tokat,46202,23470,69672,2023
61, Trabzon,80312,42438,122750,2023
62, Tunceli,6348,3161,9509,2023
63, Şanlıurfa,138224,42484,180708,2023
64, Uşak,43622,25001,68623,2023
65, Van,80108,29708,109816,2023
66, Yozgat,31237,11008,42245,2023
67, Zonguldak,69375,27175,96550,2023
68, Aksaray,44357,15396,59753,2023
69, Bayburt,6438,2469,8907,2023
70, Karaman,27044,14423,41467,2023
71, Kırıkkale,29193,10737,39930,2023
72, Batman,66543,22567,89110,2023
73, Şırnak,46539,9276,55815,2023
74, Bartın,20334,12268,32602,2023
75, Ardahan,5858,2725,8583,2023
76, Iğdır,13960,6640,20600,2023
77, Yalova,64944,20982,85926,2023
78, Karabük,26431,11611,38042,2023
79, Kilis,15938,6291,22229,2023
80, Osmaniye,49312,19794,69106,2023
81, Düzce,54445,30348,84793,2023
1, Adana,256366,110016,366382,2022
2, Adıyaman,52741,20765,73506,2022
3, Afyonkarahisar,78589,31001,109590,2022
4, Ağrı,25925,10186,36111,2022
5, Amasya,33703,16728,50431,2022
6, Ankara,866257,459950,1326207,2022
7, Antalya,415897,222228,638125,2022
8, Artvin,19643,7935,27578,2022
9, Aydın,123239,64073,187312,2022
10, Balıkesir,145595,73479,219074,2022
11, Bilecik,38757,16514,55271,2022
12, Bingöl,23488,9127,32615,2022
13, Bitlis,29115,10112,39227,2022
14, Bolu,45039,25061,70100,2022
15, Burdur,26093,12085,38178,2022
16, Bursa,530594,278465,809059,2022
17, Çanakkale,67176,33382,100558,2022
18, Çankırı,22433,9982,32415,2022
19, Çorum,46408,22240,68648,2022
20, Denizli,136245,84029,220274,2022
21, Diyarbakır,144597,53436,198033,2022
22, Edirne,42651,28453,71104,2022
23, Elazığ,61681,21717,83398,2022
24, Erzincan,25201,10576,35777,2022
25, Erzurum,71068,25989,97057,2022
26, Eskişehir,133071,66688,199759,2022
27, Gaziantep,300412,86409,386821,2022
28, Giresun,40753,23562,64315,2022
29, Gümüşhane,11467,5153,16620,2022
30, Hakkari,23020,6749,29769,2022
31, Hatay,150669,57444,208113,2022
32, Isparta,45719,23444,69163,2022
33, Mersin,243916,95473,339389,2022
34, İstanbul,3073746,1754291,4828037,2022
35, İzmir,673083,385064,1058147,2022
36, Kars,18184,9308,27492,2022
37, Kastamonu,41323,18583,59906,2022
38, Kayseri,196406,68980,265386,2022
39, Kırklareli,49785,28379,78164,2022
40, Kırşehir,22570,7567,30137,2022
41, Kocaeli,446359,186067,632426,2022
42, Konya,279587,93007,372594,2022
43, Kütahya,73316,29171,102487,2022
44, Malatya,89191,34897,124088,2022
45, Manisa,194919,93893,288812,2022
46, Kahramanmaraş,135456,38980,174436,2022
47, Mardin,88005,28250,116255,2022
48, Muğla,167799,73991,241790,2022
49, Muş,24120,9561,33681,2022
50, Nevşehir,37247,15161,52408,2022
51, Niğde,31800,12811,44611,2022
52, Ordu,62294,39440,101734,2022
53, Rize,35960,16890,52850,2022
54, Sakarya,153684,70939,224623,2022
55, Samsun,138004,74914,212918,2022
56, Siirt,26230,7676,33906,2022
57, Sinop,20645,11351,31996,2022
58, Sivas,63280,23856,87136,2022
59, Tekirdağ,225923,110384,336307,2022
60, Tokat,49077,24376,73453,2022
61, Trabzon,87310,43044,130354,2022
62, Tunceli,6509,3201,9710,2022
63, Şanlıurfa,138667,49510,188177,2022
64, Uşak,48934,25248,74182,2022
65, Van,83344,32703,116047,2022
66, Yozgat,33433,12281,45714,2022
67, Zonguldak,80314,28353,108667,2022
68, Aksaray,46379,16181,62560,2022
69, Bayburt,6885,2706,9591,2022
70, Karaman,29427,15080,44507,2022
71, Kırıkkale,29401,11037,40438,2022
72, Batman,70444,26093,96537,2022
73, Şırnak,44587,11792,56379,2022
74, Bartın,21661,11979,33640,2022
75, Ardahan,6558,3196,9754,2022
76, Iğdır,14604,5866,20470,2022
77, Yalova,65021,20736,85757,2022
78, Karabük,29160,11841,41001,2022
79, Kilis,14786,6101,20887,2022
80, Osmaniye,46078,18706,64784,2022
81, Düzce,57530,30546,88076,2022
1, Adana,240480,99825,340305,2021
2, Adıyaman,49530,17413,66943,2021
3, Afyonkarahisar,74768,28268,103036,2021
4, Ağrı,23867,8736,32603,2021
5, Amasya,31655,13550,45205,2021
6, Ankara,824842,414773,1239615,2021
7, Antalya,364448,193778,558226,2021
8, Artvin,22876,6862,29738,2021
9, Aydın,113831,57979,171810,2021
10, Balıkesir,138837,66582,205419,2021
11, Bilecik,36543,14788,51331,2021
12, Bingöl,22899,7620,30519,2021
13, Bitlis,26348,7567,33915,2021
14, Bolu,43912,22498,66410,2021
15, Burdur,26130,10516,36646,2021
16, Bursa,506107,260661,766768,2021
17, Çanakkale,68238,30018,98256,2021
18, Çankırı,21871,8797,30668,2021
19, Çorum,44773,19225,63998,2021
20, Denizli,133227,79634,212861,2021
21, Diyarbakır,137741,45496,183237,2021
22, Edirne,40114,25737,65851,2021
23, Elazığ,63896,19382,83278,2021
24, Erzincan,23678,8673,32351,2021
25, Erzurum,68475,22828,91303,2021
26, Eskişehir,127567,62093,189660,2021
27, Gaziantep,285307,77920,363227,2021
28, Giresun,40130,21606,61736,2021
29, Gümüşhane,11103,4163,15266,2021
30, Hakkari,20380,4953,25333,2021
31, Hatay,142382,51377,193759,2021
32, Isparta,44202,20985,65187,2021
33, Mersin,220994,84676,305670,2021
34, İstanbul,2892069,1593324,4485393,2021
35, İzmir,651945,358853,1010798,2021
36, Kars,16987,7766,24753,2021
37, Kastamonu,38953,16998,55951,2021
38, Kayseri,190525,62851,253376,2021
39, Kırklareli,48259,26624,74883,2021
40, Kırşehir,21376,6499,27875,2021
41, Kocaeli,422889,167933,590822,2021
42, Konya,268128,83200,351328,2021
43, Kütahya,69066,26065,95131,2021
44, Malatya,88149,30993,119142,2021
45, Manisa,185582,85398,270980,2021
46, Kahramanmaraş,136228,35130,171358,2021
47, Mardin,81446,21962,103408,2021
48, Muğla,151977,65430,217407,2021
49, Muş,23272,7745,31017,2021
50, Nevşehir,33636,13045,46681,2021
51, Niğde,30930,11028,41958,2021
52, Ordu,61183,35164,96347,2021
53, Rize,35549,15104,50653,2021
54, Sakarya,145645,63088,208733,2021
55, Samsun,128469,65455,193924,2021
56, Siirt,26464,6393,32857,2021
57, Sinop,19334,9817,29151,2021
58, Sivas,61151,20838,81989,2021
59, Tekirdağ,213943,102854,316797,2021
60, Tokat,47175,21354,68529,2021
61, Trabzon,86289,39059,125348,2021
62, Tunceli,6478,2721,9199,2021
63, Şanlıurfa,128609,41889,170498,2021
64, Uşak,50076,24899,74975,2021
65, Van,78518,28018,106536,2021
66, Yozgat,33071,11020,44091,2021
67, Zonguldak,70300,24943,95243,2021
68, Aksaray,45176,14408,59584,2021
69, Bayburt,6876,2367,9243,2021
70, Karaman,29608,14449,44057,2021
71, Kırıkkale,29549,10429,39978,2021
72, Batman,66908,22623,89531,2021
73, Şırnak,44169,10408,54577,2021
74, Bartın,20573,10410,30983,2021
75, Ardahan,6137,2763,8900,2021
76, Iğdır,14029,5000,19029,2021
77, Yalova,55907,17827,73734,2021
78, Karabük,27450,10501,37951,2021
79, Kilis,14325,5224,19549,2021
80, Osmaniye,46597,15887,62484,2021
81, Düzce,54007,28811,82818,2021
1, Adana,230710,89854,320564,2020
2, Adıyaman,46004,14623,60627,2020
3, Afyonkarahisar,72561,24849,97410,2020
4, Ağrı,23687,8671,32358,2020
5, Amasya,30781,12329,43110,2020
6, Ankara,794274,371670,1165944,2020
7, Antalya,334160,172618,506778,2020
8, Artvin,23015,6344,29359,2020
9, Aydın,107020,52735,159755,2020
10, Balıkesir,133308,59225,192533,2020
11, Bilecik,36086,13030,49116,2020
12, Bingöl,23096,7077,30173,2020
13, Bitlis,24276,6872,31148,2020
14, Bolu,42917,20945,63862,2020
15, Burdur,25507,9485,34992,2020
16, Bursa,481797,235867,717664,2020
17, Çanakkale,65796,26882,92678,2020
18, Çankırı,21029,8023,29052,2020
19, Çorum,44429,18056,62485,2020
20, Denizli,127221,72654,199875,2020
21, Diyarbakır,128237,39792,168029,2020
22, Edirne,39408,24281,63689,2020
23, Elazığ,74624,17336,91960,2020
24, Erzincan,23464,7693,31157,2020
25, Erzurum,65465,20685,86150,2020
26, Eskişehir,123693,55796,179489,2020
27, Gaziantep,267635,67342,334977,2020
28, Giresun,38758,20037,58795,2020
29, Gümüşhane,11861,4038,15899,2020
30, Hakkari,19537,4634,24171,2020
31, Hatay,132506,46335,178841,2020
32, Isparta,42845,19084,61929,2020
33, Mersin,196395,75105,271500,2020
34, İstanbul,2792197,1456578,4248775,2020
35, İzmir,619098,326136,945234,2020
36, Kars,16885,7110,23995,2020
37, Kastamonu,38043,15160,53203,2020
38, Kayseri,183794,55150,238944,2020
39, Kırklareli,47633,25410,73043,2020
40, Kırşehir,20439,5962,26401,2020
41, Kocaeli,407578,152785,560363,2020
42, Konya,259665,71426,331091,2020
43, Kütahya,65841,22792,88633,2020
44, Malatya,84810,26818,111628,2020
45, Manisa,179966,78544,258510,2020
46, Kahramanmaraş,126856,30229,157085,2020
47, Mardin,76234,19254,95488,2020
48, Muğla,141691,57592,199283,2020
49, Muş,22983,7640,30623,2020
50, Nevşehir,32278,11651,43929,2020
51, Niğde,29163,9679,38842,2020
52, Ordu,59013,32506,91519,2020
53, Rize,35253,13519,48772,2020
54, Sakarya,138304,56296,194600,2020
55, Samsun,121904,58862,180766,2020
56, Siirt,25831,5781,31612,2020
57, Sinop,17819,8927,26746,2020
58, Sivas,59133,19562,78695,2020
59, Tekirdağ,202490,93629,296119,2020
60, Tokat,45561,18614,64175,2020
61, Trabzon,84543,35367,119910,2020
62, Tunceli,6618,2695,9313,2020
63, Şanlıurfa,119214,37319,156533,2020
64, Uşak,48945,22034,70979,2020
65, Van,74735,23309,98044,2020
66, Yozgat,33452,10350,43802,2020
67, Zonguldak,68199,22872,91071,2020
68, Aksaray,43526,12456,55982,2020
69, Bayburt,6630,2264,8894,2020
70, Karaman,29692,13949,43641,2020
71, Kırıkkale,29078,9693,38771,2020
72, Batman,60351,19232,79583,2020
73, Şırnak,42245,9144,51389,2020
74, Bartın,20045,9261,29306,2020
75, Ardahan,5965,2681,8646,2020
76, Iğdır,13233,4450,17683,2020
77, Yalova,52135,15846,67981,2020
78, Karabük,26981,9979,36960,2020
79, Kilis,12305,4747,17052,2020
80, Osmaniye,42340,13861,56201,2020
81, Düzce,51507,26032,77539,2020
1, Adana,215405,85865,301270,2019
2, Adıyaman,41775,13927,55702,2019
3, Afyonkarahisar,66731,23897,90628,2019
4, Ağrı,22429,8129,30558,2019
5, Amasya,28121,11365,39486,2019
6, Ankara,753823,362677,1116500,2019
7, Antalya,331137,172432,503569,2019
8, Artvin,19624,6193,25817,2019
9, Aydın,99575,50366,149941,2019
10, Balıkesir,117258,55646,172904,2019
11, Bilecik,32443,12334,44777,2019
12, Bingöl,20167,5972,26139,2019
13, Bitlis,21549,6411,27960,2019
14, Bolu,38448,20079,58527,2019
15, Burdur,24199,9075,33274,2019
16, Bursa,455442,226661,682103,2019
17, Çanakkale,60029,25408,85437,2019
18, Çankırı,17824,7538,25362,2019
19, Çorum,38917,16839,55756,2019
20, Denizli,117307,69306,186613,2019
21, Diyarbakır,115266,36240,151506,2019
22, Edirne,36862,23682,60544,2019
23, Elazığ,50549,16215,66764,2019
24, Erzincan,20803,7423,28226,2019
25, Erzurum,60661,19410,80071,2019
26, Eskişehir,115462,55002,170464,2019
27, Gaziantep,238009,61799,299808,2019
28, Giresun,34545,18765,53310,2019
29, Gümüşhane,10622,3832,14454,2019
30, Hakkari,19611,5203,24814,2019
31, Hatay,123322,45124,168446,2019
32, Isparta,39739,18769,58508,2019
33, Mersin,176993,71314,248307,2019
34, İstanbul,2719631,1410947,4130578,2019
35, İzmir,579054,310802,889856,2019
36, Kars,16713,6806,23519,2019
37, Kastamonu,33530,14310,47840,2019
38, Kayseri,167544,52723,220267,2019
39, Kırklareli,43915,24205,68120,2019
40, Kırşehir,18365,5592,23957,2019
41, Kocaeli,362543,137783,500326,2019
42, Konya,238988,67980,306968,2019
43, Kütahya,60886,21918,82804,2019
44, Malatya,74327,25092,99419,2019
45, Manisa,164080,74118,238198,2019
46, Kahramanmaraş,116067,28643,144710,2019
47, Mardin,67158,16660,83818,2019
48, Muğla,127957,54790,182747,2019
49, Muş,21987,7346,29333,2019
50, Nevşehir,30992,11484,42476,2019
51, Niğde,26807,9517,36324,2019
52, Ordu,52077,31830,83907,2019
53, Rize,32400,13208,45608,2019
54, Sakarya,125296,54268,179564,2019
55, Samsun,109933,56755,166688,2019
56, Siirt,25170,5501,30671,2019
57, Sinop,15776,8143,23919,2019
58, Sivas,54685,17906,72591,2019
